project,description,version,developers,url,year,licenses,license urls,dependency
Android Support Library View Pager,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager:viewpager:1.0.0
Android Support RecyclerView v7,Android Support RecyclerView v7,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2014,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.recyclerview:recyclerview:1.1.0
Android Support VectorDrawable,Android Support VectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable:1.1.0
Android Tracing,Android Tracing,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/tracing#1.0.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.tracing:tracing:1.0.0
AndroidX Autofill,AndroidX Autofill,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.autofill:autofill:1.0.0
AndroidX Futures,"Androidx implementation of Guava's ListenableFuture",1.1.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.concurrent:concurrent-futures:1.1.0
AndroidX Widget ViewPager2,AndroidX Widget ViewPager2,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager2:viewpager2:1.0.0
androidx.customview:poolingcontainer,"Utilities for listening to the lifecycle of containers that manage their child Views' lifecycle, such as RecyclerView",1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/customview#1.0.0,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview-poolingcontainer:1.0.0
androidx.profileinstaller:profileinstaller,Allows libraries to prepopulate ahead of time compilation traces to be read by ART,1.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/profileinstaller#1.3.1,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.profileinstaller:profileinstaller:1.3.1
Annotation,Provides source annotations for tooling and readability.,1.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.8.0,2013,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-jvm:1.8.0
AppCompat,"Provides backwards-compatible implementations of UI-related Android SDK functionality, including dark mode and Material theming.",1.7.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.7.0,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat:1.7.0
AppCompat Resources,"Provides backward-compatible implementations of resource-related Android SDKfunctionality, including color state list theming.",1.7.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.7.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat-resources:1.7.0
collections,Standalone efficient collections.,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/collection#1.4.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection-jvm:1.4.0
Compose Animation,Compose animation library,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.5.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-android:1.5.0
Compose Animation,Compose animation library,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.4.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation:1.4.0
Compose Animation Core,Animation engine and animation primitives that are the building blocks of the Compose animation library,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.5.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-core-android:1.5.0
Compose Animation Core,Animation engine and animation primitives that are the building blocks of the Compose animation library,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.4.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-core:1.4.0
Compose Foundation,"Higher level abstractions of the Compose UI primitives. This library is design system agnostic, providing the high-level building blocks for both application and design-system developers",1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.5.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-android:1.5.0
Compose Foundation,"Higher level abstractions of the Compose UI primitives. This library is design system agnostic, providing the high-level building blocks for both application and design-system developers",1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.4.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation:1.4.0
Compose Geometry,Compose classes related to dimensions without units,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.5.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-geometry-android:1.5.0
Compose Geometry,Compose classes related to dimensions without units,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.4.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-geometry:1.4.0
Compose Graphics,Compose graphics,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.5.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-graphics-android:1.5.0
Compose Graphics,Compose graphics,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.4.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-graphics:1.4.0
Compose Layouts,Compose layout implementations,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.5.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-layout-android:1.5.0
Compose Layouts,Compose layout implementations,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.4.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-layout:1.4.0
Compose Material Components,Compose Material Design Components library,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.5.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-android:1.5.0
Compose Material Icons Core,Compose Material Design core icons. This module contains the most commonly used set of Material icons.,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.5.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-icons-core-android:1.5.0
Compose Material Icons Core,Compose Material Design core icons. This module contains the most commonly used set of Material icons.,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.4.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-icons-core:1.4.0
Compose Material Ripple,Material ripple used to build interactive components,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.5.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-ripple-android:1.5.0
Compose Material Ripple,Material ripple used to build interactive components,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.4.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-ripple:1.4.0
Compose Material3 Components,Compose Material You Design Components library,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material3#1.0.0,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material3:material3:1.0.0
Compose Runtime,Tree composition support for code generated by the Compose compiler plugin and corresponding public API,1.7.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.7.1,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-android:1.7.1
Compose Runtime,Tree composition support for code generated by the Compose compiler plugin and corresponding public API,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.4.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime:1.4.0
Compose Saveable,Compose components that allow saving and restoring the local ui state,1.7.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.7.1,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-saveable-android:1.7.1
Compose Saveable,Compose components that allow saving and restoring the local ui state,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.4.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-saveable:1.4.0
Compose Tooling API,Compose tooling library API. This library provides the API required to declare @Preview composables in user apps.,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.4.0,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-tooling-preview:1.4.0
Compose UI,"Compose UI primitives. This library contains the primitives that form the Compose UI Toolkit, such as drawing, measurement and layout.",1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.5.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-android:1.5.0
Compose UI Preview Tooling,Compose tooling library API. This library provides the API required to declare @Preview composables in user apps.,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.5.0,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-tooling-preview-android:1.5.0
Compose UI primitives,"Compose UI primitives. This library contains the primitives that form the Compose UI Toolkit, such as drawing, measurement and layout.",1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.4.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui:1.4.0
Compose UI Text,Compose Text primitives and utilities,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.5.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-text-android:1.5.0
Compose UI Text,Compose Text primitives and utilities,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.4.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-text:1.4.0
Compose Unit,Compose classes for simple units,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.5.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit-android:1.5.0
Compose Unit,Compose classes for simple units,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.4.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit:1.4.0
Compose Util,Internal Compose utilities used by other modules,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.5.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util-android:1.5.0
Compose Util,Internal Compose utilities used by other modules,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.4.0,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util:1.4.0
Core,Provides backward-compatible implementations of Android platform APIs and features.,1.13.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.13.0,2015,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core:1.13.0
Core Kotlin Extensions,"Kotlin extensions for 'core' artifact",1.13.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.13.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core-ktx:1.13.0
Emoji2,Core library to enable emoji compatibility in Kitkat and newer devices to avoid the empty emoji characters.,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/emoji2#1.4.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.emoji2:emoji2:1.4.0
Emoji2 Views Helper,Provide helper classes for Emoji2 views.,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/emoji2#1.4.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.emoji2:emoji2-views-helper:1.4.0
error-prone annotations,,2.15.0,,,,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.errorprone:error_prone_annotations:2.15.0
Experimental annotation,"Java annotation for use on unstable Android API surfaces. When used in conjunction with the Experimental annotation lint checks, this annotation provides functional parity with Kotlin's Experimental annotation.",1.4.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.4.1,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-experimental:1.4.1
Guava ListenableFuture only,"Contains Guava's com.google.common.util.concurrent.ListenableFuture class,
    without any of its other classes -- but is also available in a second
    ""version"" that omits the class to avoid conflicts with the copy in Guava
    itself. The idea is:

    - If users want only ListenableFuture, they depend on listenablefuture-1.0.

    - If users want all of Guava, they depend on guava, which, as of Guava
    27.0, depends on
    listenablefuture-9999.0-empty-to-avoid-conflict-with-guava. The 9999.0-...
    version number is enough for some build systems (notably, Gradle) to select
    that empty artifact over the ""real"" listenablefuture-1.0 -- avoiding a
    conflict with the copy of ListenableFuture in guava itself. If users are
    using an older version of Guava or a build system other than Gradle, they
    may see class conflicts. If so, they can solve them by manually excluding
    the listenablefuture artifact or manually forcing their build systems to
    use 9999.0-....",1.0,,,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.guava:listenablefuture:1.0
JetBrains Java Annotations,A set of annotations used for code inspection support and code documentation.,23.0.0,JetBrains Team,https://github.com/JetBrains/java-annotations,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains:annotations:23.0.0
Kotlin Stdlib,Kotlin Standard Library for JVM,1.8.22,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib:1.8.22
Kotlin Stdlib Common,Kotlin Common Standard Library,1.8.22,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-common:1.8.22
Kotlin Stdlib Jdk7,Kotlin Standard Library JDK 7 extension,1.8.22,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.8.22
Kotlin Stdlib Jdk8,Kotlin Standard Library JDK 8 extension,1.8.22,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.8.22
kotlinx-coroutines-android,Coroutines support libraries for Kotlin,1.7.3,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-android:1.7.3
kotlinx-coroutines-core,Coroutines support libraries for Kotlin,1.7.3,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.7.3
Lifecycle Kotlin Extensions,"Kotlin extensions for 'lifecycle' artifact",2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-ktx-android:2.8.6
Lifecycle LiveData,Android Lifecycle LiveData,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata:2.8.6
Lifecycle LiveData Core,Android Lifecycle LiveData Core,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core:2.8.6
Lifecycle Process,Android Lifecycle Process,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-process:2.8.6
Lifecycle Runtime,Android Lifecycle Runtime,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-android:2.8.6
Lifecycle Runtime,Android Lifecycle Runtime,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-desktop:2.8.6
Lifecycle Runtime Compose,Compose integration with Lifecycle,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-compose-android:2.8.6
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-android:2.8.6
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.6,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.6,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-desktop:2.8.6
